Date,Location,Population
2020-06-25,Afghanistan,38928341
2020-06-26,Afghanistan,38928341
2020-06-27,Afghanistan,38928341
2020-06-28,Afghanistan,38928341
2020-06-29,Afghanistan,38928341
2020-06-30,Afghanistan,38928341
2020-07-01,Afghanistan,38928341
2020-07-02,Afghanistan,38928341
2020-07-03,Afghanistan,38928341
2020-07-04,Afghanistan,38928341
2020-07-05,Afghanistan,38928341
2020-07-06,Afghanistan,38928341
2020-07-07,Afghanistan,38928341
2020-07-08,Afghanistan,38928341
2020-07-09,Afghanistan,38928341
2020-07-10,Afghanistan,38928341
2020-07-11,Afghanistan,38928341
2020-07-12,Afghanistan,38928341
2020-07-13,Afghanistan,38928341
2020-07-14,Afghanistan,38928341
2020-07-15,Afghanistan,38928341
2020-07-16,Afghanistan,38928341
2020-07-17,Afghanistan,38928341
2020-07-18,Afghanistan,38928341
2020-07-19,Afghanistan,38928341
2020-07-20,Afghanistan,38928341
2020-07-21,Afghanistan,38928341
2020-07-22,Afghanistan,38928341
2020-07-23,Afghanistan,38928341
2020-07-24,Afghanistan,38928341
2020-07-25,Afghanistan,38928341
2020-07-26,Afghanistan,38928341
2020-07-27,Afghanistan,38928341
2020-07-28,Afghanistan,38928341
2020-07-29,Afghanistan,38928341
2020-07-30,Afghanistan,38928341
2020-07-31,Afghanistan,38928341
2020-08-01,Afghanistan,38928341
2020-08-02,Afghanistan,38928341
2020-08-03,Afghanistan,38928341
2020-08-04,Afghanistan,38928341
2020-08-05,Afghanistan,38928341
2020-08-06,Afghanistan,38928341
2020-08-07,Afghanistan,38928341
2020-08-08,Afghanistan,38928341
2020-08-09,Afghanistan,38928341
2020-08-10,Afghanistan,38928341
2020-08-11,Afghanistan,38928341
2020-08-12,Afghanistan,38928341
2020-08-13,Afghanistan,38928341
2020-08-14,Afghanistan,38928341
2020-08-15,Afghanistan,38928341
2020-08-16,Afghanistan,38928341
2020-08-17,Afghanistan,38928341
2020-08-18,Afghanistan,38928341
2020-08-19,Afghanistan,38928341
2020-08-20,Afghanistan,38928341
2020-08-21,Afghanistan,38928341
2020-08-22,Afghanistan,38928341
2020-08-23,Afghanistan,38928341
2020-08-24,Afghanistan,38928341
2020-08-25,Afghanistan,38928341
2020-08-26,Afghanistan,38928341
2020-08-27,Afghanistan,38928341
2020-08-28,Afghanistan,38928341
2020-08-29,Afghanistan,38928341
2020-08-30,Afghanistan,38928341
2020-08-31,Afghanistan,38928341
2020-09-01,Afghanistan,38928341
2020-09-02,Afghanistan,38928341
2020-09-03,Afghanistan,38928341
2020-09-04,Afghanistan,38928341
2020-09-05,Afghanistan,38928341
2020-09-06,Afghanistan,38928341
2020-09-07,Afghanistan,38928341
2020-09-08,Afghanistan,38928341
2020-09-09,Afghanistan,38928341
2020-09-10,Afghanistan,38928341
2020-09-11,Afghanistan,38928341
2020-09-12,Afghanistan,38928341
2020-09-13,Afghanistan,38928341
2020-09-14,Afghanistan,38928341
2020-09-15,Afghanistan,38928341
2020-09-16,Afghanistan,38928341
2020-09-17,Afghanistan,38928341
2020-09-18,Afghanistan,38928341
2020-09-19,Afghanistan,38928341
